n,distribution,rep,timeMs,comparisons,swaps,accesses,allocations
100,random,1,0,364,206,1567,101
100,random,2,0,349,186,1454,101
100,random,3,0,340,178,1415,101
100,random,4,0,345,180,1422,101
100,random,5,0,344,186,1454,101
1000,random,1,1,4075,2166,16332,1001
1000,random,2,1,4028,2118,16057,1001
1000,random,3,0,4027,2119,16062,1001
1000,random,4,0,4092,2184,16444,1001
1000,random,5,0,4023,2116,16034,1001
10000,random,1,3,47327,24918,182882,10001
10000,random,2,3,46981,24556,180730,10001
10000,random,3,3,47076,24674,181416,10001
10000,random,4,2,47193,24759,181928,10001
10000,random,5,2,47180,24752,181930,10001
